Name,Year,URL
Once Upon a Time in America,1984,https://letterboxd.com/film/once-upon-a-time-in-america/
An Autumn Afternoon,1962,https://letterboxd.com/film/an-autumn-afternoon/
Metropolis,1927,https://letterboxd.com/film/metropolis/
Rocco and His Brothers,1960,https://letterboxd.com/film/rocco-and-his-brothers/
Your Name.,2016,https://letterboxd.com/film/your-name/
Solaris,1972,https://letterboxd.com/film/solaris/
Red Beard,1965,https://letterboxd.com/film/red-beard/
The Young Girls of Rochefort,1967,https://letterboxd.com/film/the-young-girls-of-rochefort/
A Matter of Life and Death,1946,https://letterboxd.com/film/a-matter-of-life-and-death/
Napoleon,1927,https://letterboxd.com/film/napoleon/
Landscape in the Mist,1988,https://letterboxd.com/film/landscape-in-the-mist/
Amadeus,1984,https://letterboxd.com/film/amadeus/
Mulholland Drive,2001,https://letterboxd.com/film/mulholland-drive/
Marketa Lazarová,1967,https://letterboxd.com/film/marketa-lazarova/
Aparajito,1956,https://letterboxd.com/film/aparajito/
My Neighbor Totoro,1988,https://letterboxd.com/film/my-neighbor-totoro/
Nostalgia,1983,https://letterboxd.com/film/nostalgia-1983/
Moonlight,2016,https://letterboxd.com/film/moonlight-2016/
A Special Day,1977,https://letterboxd.com/film/a-special-day/
"La Commune (Paris, 1871)",2000,https://letterboxd.com/film/la-commune-paris-1871/
Double Indemnity,1944,https://letterboxd.com/film/double-indemnity/
Coco,2017,https://letterboxd.com/film/coco-2017/
Tampopo,1985,https://letterboxd.com/film/tampopo/
La Notte,1961,https://letterboxd.com/film/la-notte/
Rififi,1955,https://letterboxd.com/film/rififi/
The Pianist,2002,https://letterboxd.com/film/the-pianist/
Wings of Desire,1987,https://letterboxd.com/film/wings-of-desire/
Le Samouraï,1967,https://letterboxd.com/film/le-samourai/
Make Way for Tomorrow,1937,https://letterboxd.com/film/make-way-for-tomorrow/
Bacurau,2019,https://letterboxd.com/film/bacurau/
Paddington 2,2017,https://letterboxd.com/film/paddington-2/
The Big City,1963,https://letterboxd.com/film/the-big-city/
Throne of Blood,1957,https://letterboxd.com/film/throne-of-blood/
Mad Max: Fury Road,2015,https://letterboxd.com/film/mad-max-fury-road/
Macario,1960,https://letterboxd.com/film/macario/
Raise the Red Lantern,1991,https://letterboxd.com/film/raise-the-red-lantern/
Early Summer,1951,https://letterboxd.com/film/early-summer/
Dog Day Afternoon,1975,https://letterboxd.com/film/dog-day-afternoon/
The Treasure of the Sierra Madre,1948,https://letterboxd.com/film/the-treasure-of-the-sierra-madre/
Funeral Parade of Roses,1969,https://letterboxd.com/film/funeral-parade-of-roses/
The Departed,2006,https://letterboxd.com/film/the-departed/
A Clockwork Orange,1971,https://letterboxd.com/film/a-clockwork-orange/
La Flor,2018,https://letterboxd.com/film/la-flor/
Winter Light,1963,https://letterboxd.com/film/winter-light/
Inception,2010,https://letterboxd.com/film/inception/
Paper Moon,1973,https://letterboxd.com/film/paper-moon/
Akira,1988,https://letterboxd.com/film/akira/
Il Sorpasso,1962,https://letterboxd.com/film/il-sorpasso/
The Grand Budapest Hotel,2014,https://letterboxd.com/film/the-grand-budapest-hotel/
Ace in the Hole,1951,https://letterboxd.com/film/ace-in-the-hole/
Saving Private Ryan,1998,https://letterboxd.com/film/saving-private-ryan/
Where Is My Friend's House?,1987,https://letterboxd.com/film/where-is-my-friends-house/
